"","Area","Bio_Pattern","Sex","BirthSeas","Settlement","Platoon","Morph","Yr","Seas","Time","Beg/Mid","Era","0","1","2","3","4","5","6","7","8","9","10"
"5244",1,1,1,1,1,1,1,2004,1,2004.5,"M","TIME",229925,144109,75029.7,52218.8,49831.1,26057.6,8036.92,3687.87,1712.79,942.837,573.011
"5245",1,1,1,1,1,1,1,2005,1,2005,"B","TIME",534749,179699,112627,58598.7,40396.2,36926.9,18030.6,5301.36,2394.87,1113.19,993.401
"5246",1,1,1,1,1,1,1,2005,1,2005.5,"M","TIME",417935,140443,87992.3,45458.9,30247,26101.7,12224.2,3536.75,1594.37,742.749,666.638
"5247",1,1,1,1,1,1,1,2006,1,2006,"B","TIME",732468,326639,109764,68745.7,35265.4,22647.7,18450,8287.63,2359.51,1061.45,942.939
"5248",1,1,1,1,1,1,1,2006,1,2006.5,"M","TIME",572463,255285,85752,53275.2,26259.2,15826.8,12330.1,5448.71,1549.07,698.903,625.052
"5249",1,1,1,1,1,1,1,2007,1,2007,"B","TIME",532209,447411,199518,66993.2,41286.3,19553,11060.2,8240.18,3582.25,1016.99,874.52
"5250",1,1,1,1,1,1,1,2007,1,2007.5,"M","TIME",415950,349662,155729,51615.2,30176.1,13199.7,7093.82,5216.27,2277.95,651.733,567.495
"5251",1,1,1,1,1,1,1,2008,1,2008,"B","TIME",783890,325087,273268,121551,39767.1,22055.6,8910.75,4549.85,3302.05,1448.54,785.919
"5252",1,1,1,1,1,1,1,2008,1,2008.5,"M","TIME",612652,254058,213169,93184.5,28533.4,14355.3,5445.84,2733.2,1991.81,881.091,484.723
"5253",1,1,1,1,1,1,1,2009,1,2009,"B","TIME",425130,478820,198548,166287,71437.9,20473.1,9343.4,3328.25,1641.9,1201.47,834.892
"5254",1,1,1,1,1,1,1,2009,1,2009.5,"M","TIME",332262,374210,154983,128089,52092.8,13743.8,5942.76,2084.96,1031.64,759.997,534.124
"5255",1,1,1,1,1,1,1,2010,1,2010,"B","TIME",514503,259681,292455,120976,98665.6,37986.2,9226.36,3779.82,1306.11,648.201,822.447
"5256",1,1,1,1,1,1,1,2010,1,2010.5,"M","TIME",402112,202945,228208,92898.5,70990.6,24782.2,5648.85,2274.63,789.418,395.148,508.537
"5257",1,1,1,1,1,1,1,2011,1,2011,"B","TIME",796742,314272,158605,178075,71337.5,51078.3,16168,3458.52,1368.84,477.127,555.326
"5258",1,1,1,1,1,1,1,2011,1,2011.5,"M","TIME",622697,245613,123819,137143,51645.9,33573.2,9984.14,2103.68,838.171,295.206,349.304
"5259",1,1,1,1,1,1,1,2012,1,2012,"B","TIME",1163520,486671,191954,96662.8,105620,37389.9,22067.2,6165.47,1279.58,513.232,402.364
"5260",1,1,1,1,1,1,1,2012,1,2012.5,"M","TIME",909351,380346,149844,74533.2,77382.1,25350.9,14230.2,3924,817.71,330.379,262.108
"5261",1,1,1,1,1,1,1,2013,1,2013,"B","TIME",712407,710707,297250,116972,57469.8,56693.7,17188.2,9176.41,2497.43,522.553,383.415
"5262",1,1,1,1,1,1,1,2013,1,2013.5,"M","TIME",556784,555435,232043,90312.9,42524.2,39388.4,11466.1,6055.35,1652.93,347.814,257.587
"5263",1,1,1,1,1,1,1,2014,1,2014,"B","TIME",235525,435157,434087,181139,69729.7,31465.4,27365.4,7648.96,3995.82,1094,404.56
"5264",1,1,1,1,1,1,1,2014,1,2014.5,"M","TIME",156508,289149,287961,118246,42746.9,17568.6,14385.8,3957.34,2076.89,573.503,215.071
"5265",1,1,1,1,1,1,1,2015,1,2015,"B","TIME",278914,104000,192130,191025,77190,26205.4,9809.32,7562.55,2047.41,1079.5,414.981
"5266",1,1,1,1,1,1,1,2015,1,2015.5,"M","TIME",185340,69104.5,127424,124207,46196.8,13819.6,4769.5,3605.6,984.665,526.242,206.694
"5267",1,1,1,1,1,1,1,2016,1,2016,"B","TIME",271411,123159,45917.5,84510.3,80761.4,27647.9,7287.83,2319.03,1719.04,473.558,359.486
"5268",1,1,1,1,1,1,1,2016,1,2016.5,"M","TIME",180354,81835.7,30460.6,55026.9,48400.6,14558.4,3533.68,1104.62,828.403,231.898,180.463
"5269",1,1,1,1,1,1,1,2017,1,2017,"B","TIME",293611,119846,54377.4,20206.8,35829.4,29006.6,7665.97,1713.39,526.158,399.207,204.152
"5270",1,1,1,1,1,1,1,2017,1,2017.5,"M","TIME",229473,93661.1,42427.9,15505.6,25751.1,18729.9,4520.91,961.029,288.632,217.033,110.877
"5271",1,1,1,1,1,1,1,2018,1,2018,"B","TIME",208612,179346,73197.2,33104.3,11898.1,18507.6,12094.1,2666.15,539.034,158.333,178.21
"5272",1,1,1,1,1,1,1,2018,1,2018.5,"M","TIME",163041,140166,57178,25724.2,9057.68,13626.4,8656.98,1879.01,377.291,110.516,124.339
"5273",1,1,1,1,1,1,1,2019,1,2019,"B","TIME",171594,127426,109545,44664.5,19989.3,6895.36,10032.5,6196.7,1324.26,264.08,163.892
"5274",1,1,1,1,1,1,1,2019,1,2019.5,"M","TIME",134110,99588.1,85565.1,34690.4,15196,5064.16,7157.4,4350.52,923.131,183.557,113.86
"5275",1,1,1,1,1,1,1,2020,1,2020,"B","TIME",187267,104814,77832,66834.3,26943.7,11552.2,3719.28,5106.25,3054.38,643.507,206.689
"5276",1,1,1,1,1,1,1,2020,1,2020.5,"M","TIME",146359,81916.9,60807.2,52067,20801.1,8799.45,2801.81,3822.94,2280.35,479.871,154.061
"5277",1,1,1,1,1,1,1,2021,1,2021,"B","TIME",217044,114388,64021.6,47506.5,40562.6,16058.9,6702.67,2110.66,2862.15,1702.48,472.679
"5278",1,1,1,1,1,1,1,2021,1,2021.5,"M","TIME",169631,89398.3,50004.3,36884.2,30806.3,11778.2,4774.73,1479.57,1992.09,1181.5,327.802
"5279",1,1,1,1,1,1,1,2022,1,2022,"B","TIME",212307,132576,69868.1,39056.1,28637,23396.7,8638.56,3401.34,1037.18,1386.51,1047.28
"5280",1,1,1,1,1,1,1,2022,1,2022.5,"M","TIME",165930,103613,54560.6,30267.6,21580.5,16868.3,6001.95,2315.42,699.663,931.863,703.242
"5281",1,1,1,1,1,1,1,2023,1,2023,"B","TIME",410739,129683,80976.6,42606.8,23456.6,16262.7,12161.5,4170.07,1576.2,471.982,1098.52
"5282",1,1,1,1,1,1,1,2023,1,2023.5,"M","TIME",321015,101352,63244.3,33062.3,17774.1,11870.3,8604.68,2900.39,1088,324.788,755.268
"5283",1,1,1,1,1,1,1,2024,1,2024,"B","TIME",480494,250891,79210.2,49395.1,25655.9,13468.3,8664.26,6088.12,2017.3,751.011,742.769
"5284",1,1,1,1,1,1,1,2024,1,2024.5,"M","TIME",375532,196080,61863.1,38310.1,19381.3,9755.35,6058.73,4175.64,1371.79,508.923,502.942
"5285",1,1,1,1,1,1,1,2025,1,2025,"B","FORE",517216,293499,153244,48315,29712.8,14641.3,7066,4236.75,2863.93,932.832,685.422
"5286",1,1,1,1,1,1,1,2025,1,2025.5,"M","FORE",404232,229376,119614,37231.4,21791.8,9966.23,4561.17,2678.75,1804.44,588.803,435.216
