ParName   Value   Gradient
sel_slope_fsh_m(1)       1.2353  3.35434e-05
male_sel_offset     -0.18163 -8.25407e-05
sel_slope_fsh_devs_m(1,1975)    0.0370805  6.96099e-06
sel_slope_fsh_devs_m(1,1976)    0.0260291  2.63831e-05
sel_slope_fsh_devs_m(1,1977)   -0.0219656 -5.05642e-06
sel_slope_fsh_devs_m(1,1978)   0.00275144 -5.87961e-06
sel_slope_fsh_devs_m(1,1979)    0.0390465  1.67603e-07
sel_slope_fsh_devs_m(1,1980)    -0.162368  3.55015e-06
sel_slope_fsh_devs_m(1,1981)     0.202978 -3.70923e-06
sel_slope_fsh_devs_m(1,1982)    -0.131312  1.07645e-05
sel_slope_fsh_devs_m(1,1983)    -0.416174 -1.20494e-06
sel_slope_fsh_devs_m(1,1984)    -0.396427  9.21294e-06
sel_slope_fsh_devs_m(1,1985)     0.431604  6.30788e-07
sel_slope_fsh_devs_m(1,1986)     0.383787  1.82803e-06
sel_slope_fsh_devs_m(1,1987)     0.211267 -2.11127e-06
sel_slope_fsh_devs_m(1,1988)     0.444893 -3.84412e-06
sel_slope_fsh_devs_m(1,1989)     0.174177 -1.05228e-05
sel_slope_fsh_devs_m(1,1990)     0.236913  8.41226e-06
sel_slope_fsh_devs_m(1,1991)   -0.0218723  1.78273e-05
sel_slope_fsh_devs_m(1,1992)   -0.0381537  3.87997e-06
sel_slope_fsh_devs_m(1,1993)     0.290816  8.22917e-06
sel_slope_fsh_devs_m(1,1994)     0.247899  5.39828e-06
sel_slope_fsh_devs_m(1,1995)    0.0286256 -3.74145e-06
sel_slope_fsh_devs_m(1,1996)     0.034951 -2.40171e-06
sel_slope_fsh_devs_m(1,1997)    0.0321452 -9.72983e-06
sel_slope_fsh_devs_m(1,1998)    0.0959795   2.2336e-06
sel_slope_fsh_devs_m(1,1999)    -0.102353  3.90219e-06
sel_slope_fsh_devs_m(1,2000)    -0.183752  1.08271e-06
sel_slope_fsh_devs_m(1,2001)    -0.157196 -1.59659e-06
sel_slope_fsh_devs_m(1,2002)    -0.121719 -3.39012e-06
sel_slope_fsh_devs_m(1,2003)    0.0147803 -2.76917e-06
sel_slope_fsh_devs_m(1,2004)   -0.0524709 -6.74303e-07
sel_slope_fsh_devs_m(1,2005)   -0.0116802  1.26915e-06
sel_slope_fsh_devs_m(1,2006)   -0.0549026 -2.04343e-06
sel_slope_fsh_devs_m(1,2007)   -0.0804435 -1.69933e-06
sel_slope_fsh_devs_m(1,2008)   -0.0860039 -2.64414e-06
sel_slope_fsh_devs_m(1,2009)   -0.0930479   9.3438e-06
sel_slope_fsh_devs_m(1,2010)    -0.161762  4.03538e-06
sel_slope_fsh_devs_m(1,2011)    -0.149536  1.68662e-05
sel_slope_fsh_devs_m(1,2012)    -0.399429 -1.35156e-06
sel_slope_fsh_devs_m(1,2013)    -0.361688  6.61539e-07
sel_slope_fsh_devs_m(1,2014)    -0.199348    6.503e-06
sel_slope_fsh_devs_m(1,2015)    -0.165553 -5.67399e-07
sel_slope_fsh_devs_m(1,2016)     -0.27715 -9.49423e-06
sel_slope_fsh_devs_m(1,2017)   -0.0303573  1.12509e-05
sel_slope_fsh_devs_m(1,2018)     0.160208 -1.47149e-05
sel_slope_fsh_devs_m(1,2019)     0.108734 -8.99765e-06
sel_slope_fsh_devs_m(1,2020)  -0.00537314 -7.59899e-06
sel_slope_fsh_devs_m(1,2021)     0.170418 -1.45665e-05
sel_slope_fsh_devs_m(1,2022)     0.304583  5.77301e-06
sel_slope_fsh_devs_m(1,2023)     0.202375  9.38783e-05
sel_slope_fsh_devs_m(1,2024) -3.95798e-06   0.00012968
sel50_fsh_m(1)      7.40449  3.28836e-05
sel50_fsh_devs_m(1,1975)     0.380898  9.18352e-05
sel50_fsh_devs_m(1,1976)     0.559898  0.000214579
sel50_fsh_devs_m(1,1977)    -0.439076  1.35849e-05
sel50_fsh_devs_m(1,1978)    -0.575947  4.35437e-05
sel50_fsh_devs_m(1,1979)     0.240336  6.16348e-05
sel50_fsh_devs_m(1,1980)    -0.306753  1.55332e-05
sel50_fsh_devs_m(1,1981)    -0.549676 -6.20604e-06
sel50_fsh_devs_m(1,1982)     -0.17662  2.36183e-06
sel50_fsh_devs_m(1,1983)     0.214588  9.96765e-06
sel50_fsh_devs_m(1,1984)    0.0330706  1.48752e-05
sel50_fsh_devs_m(1,1985)    -0.576202  1.46301e-05
sel50_fsh_devs_m(1,1986)    -0.318496  4.74959e-05
sel50_fsh_devs_m(1,1987)    -0.314241  4.30832e-06
sel50_fsh_devs_m(1,1988)    -0.299784  2.58606e-06
sel50_fsh_devs_m(1,1989)    -0.196861 -2.36446e-05
sel50_fsh_devs_m(1,1990)    -0.281005  2.91813e-05
sel50_fsh_devs_m(1,1991)    0.0352896  2.52912e-05
sel50_fsh_devs_m(1,1992)    0.0987161   7.2116e-06
sel50_fsh_devs_m(1,1993)     0.106253  3.14409e-05
sel50_fsh_devs_m(1,1994)     0.112006  2.88729e-05
sel50_fsh_devs_m(1,1995)     0.328165  4.37566e-05
sel50_fsh_devs_m(1,1996)     0.401338 -3.82302e-05
sel50_fsh_devs_m(1,1997)     0.587086 -0.000211577
sel50_fsh_devs_m(1,1998)     0.268807 -1.60735e-05
sel50_fsh_devs_m(1,1999)     0.256812  5.42847e-05
sel50_fsh_devs_m(1,2000)     0.231067 -3.49299e-06
sel50_fsh_devs_m(1,2001)    0.0513191  9.15458e-06
sel50_fsh_devs_m(1,2002)    0.0103676 -1.27092e-06
sel50_fsh_devs_m(1,2003)   -0.0637102 -9.56351e-06
sel50_fsh_devs_m(1,2004)    0.0453712  1.76466e-05
sel50_fsh_devs_m(1,2005)   -0.0845732  3.35438e-05
sel50_fsh_devs_m(1,2006)    0.0371007  1.00195e-05
sel50_fsh_devs_m(1,2007)    0.0270047  9.17795e-06
sel50_fsh_devs_m(1,2008)     0.145276  3.66507e-05
sel50_fsh_devs_m(1,2009)     0.132772   5.5778e-05
sel50_fsh_devs_m(1,2010)     0.181852  3.89184e-05
sel50_fsh_devs_m(1,2011)     0.203465  5.63038e-05
sel50_fsh_devs_m(1,2012)     0.264671 -1.15503e-05
sel50_fsh_devs_m(1,2013)      0.19052 -1.48295e-05
sel50_fsh_devs_m(1,2014)     0.278409  2.35591e-05
sel50_fsh_devs_m(1,2015)     0.214024   1.0948e-05
sel50_fsh_devs_m(1,2016)    0.0337661  1.80661e-05
sel50_fsh_devs_m(1,2017)   -0.0926846  1.77789e-05
sel50_fsh_devs_m(1,2018)    -0.194235 -3.43996e-05
sel50_fsh_devs_m(1,2019)     -0.24192 -2.55192e-05
sel50_fsh_devs_m(1,2020)    -0.210617  1.54088e-05
sel50_fsh_devs_m(1,2021)    -0.261347 -5.90199e-05
sel50_fsh_devs_m(1,2022)    -0.286138  0.000564177
sel50_fsh_devs_m(1,2023)    -0.199981   0.00107052
sel50_fsh_devs_m(1,2024) -0.000380927   0.00161072
sel_slope_srv(1)      1.76203 -5.95479e-06
sel50_srv(1)      3.62612  -2.6527e-06
sel_slope_srv_m(1)     0.326796 -1.60922e-06
