"","Pred","Prey","Pred_sex","Prey_sex","Pred_age","Prey_age","Year","Sample_size","Stomach_proportion_by_weight"
"588",1,3,1,2,8,11,0,20,0
"589",1,3,1,2,8,12,0,20,0
"590",1,3,1,2,8,13,0,20,0
"591",1,3,1,2,8,14,0,20,0
"592",1,3,1,2,8,15,0,20,0
"593",1,3,1,2,8,16,0,20,0
"594",1,3,1,2,8,17,0,20,0
"595",1,3,1,2,8,18,0,20,0
"596",1,3,1,2,8,19,0,20,0
"597",1,3,1,2,8,20,0,20,0
"598",1,3,1,2,8,21,0,20,0
"599",1,3,1,2,9,1,0,20,0.00133909872399737
"600",1,3,1,2,9,2,0,20,0
"601",1,3,1,2,9,3,0,20,0
"602",1,3,1,2,9,4,0,20,0
"603",1,3,1,2,9,5,0,20,0
"604",1,3,1,2,9,6,0,20,0
"605",1,3,1,2,9,7,0,20,0
"606",1,3,1,2,9,8,0,20,0
"607",1,3,1,2,9,9,0,20,0
"608",1,3,1,2,9,10,0,20,0
"609",1,3,1,2,9,11,0,20,0
"610",1,3,1,2,9,12,0,20,0
"611",1,3,1,2,9,13,0,20,0
"612",1,3,1,2,9,14,0,20,0
"613",1,3,1,2,9,15,0,20,0
"614",1,3,1,2,9,16,0,20,0
"615",1,3,1,2,9,17,0,20,0
"616",1,3,1,2,9,18,0,20,0
"617",1,3,1,2,9,19,0,20,0
"618",1,3,1,2,9,20,0,20,0
"619",1,3,1,2,9,21,0,20,0
"620",1,3,1,2,10,1,0,20,0.00119573617777946
"621",1,3,1,2,10,2,0,20,0
"622",1,3,1,2,10,3,0,20,0
"623",1,3,1,2,10,4,0,20,0
"624",1,3,1,2,10,5,0,20,0
"625",1,3,1,2,10,6,0,20,0
